Date,Open,High,Low,Close,Adj Close,Volume
1999-11-09,28.135048,28.295820,27.733118,27.934084,18.569370,204140
1999-11-10,28.094854,28.094854,27.532154,27.532154,18.302185,361880
1999-11-11,27.572348,27.934084,27.532154,27.692926,18.409063,194064
1999-11-12,28.135048,28.135048,27.331190,27.532154,18.302185,107979
1999-11-15,27.572348,27.572348,26.647909,26.647909,17.714382,194562
1999-11-16,26.929260,27.130224,26.728296,26.768490,17.794540,130247
1999-11-17,26.929260,26.929260,26.647909,26.728296,17.767822,96659
1999-11-18,27.250805,27.411575,26.688103,26.728296,17.767822,305526
1999-11-19,26.929260,26.929260,26.406752,26.527330,17.634230,979401
1999-11-22,26.929260,26.929260,26.286175,26.527330,17.634230,217824
1999-11-23,26.808681,27.290997,26.527330,27.049839,17.981571,261240
1999-11-24,27.250805,27.250805,26.848875,26.929260,17.901409,105616
1999-11-25,26.929260,27.733118,26.848875,27.451769,18.248755,145050
1999-11-26,27.692926,27.692926,26.929260,27.331190,18.168594,70784
1999-11-29,27.532154,27.532154,27.170418,27.411575,18.222036,98525
1999-11-30,27.652733,27.733118,27.331190,27.733118,18.435778,113328
1999-12-01,27.934084,28.577169,27.532154,28.536978,18.970148,305900
1999-12-02,28.737942,29.340836,28.737942,29.220257,19.424364,199040
1999-12-03,29.742765,29.742765,28.938908,29.501608,19.611391,542135
1999-12-06,29.340836,29.742765,29.059486,29.300644,19.477810,521609
1999-12-07,29.300644,29.300644,28.697748,28.737942,19.103745,583934
1999-12-08,28.898714,28.938908,27.934084,28.094854,18.676250,419477
1999-12-09,28.336014,28.657557,27.331190,27.371384,18.195314,331028
1999-12-10,28.135048,28.135048,27.733118,28.014469,18.622812,265470
1999-12-13,28.094854,28.938908,28.094854,28.215433,18.788752,865078
1999-12-14,28.215433,28.536978,27.250805,27.532154,18.333750,1807781
1999-12-15,26.929260,27.532154,26.567524,27.532154,18.333750,608689
1999-12-16,28.135048,28.135048,27.170418,27.170418,18.092871,89692
1999-12-17,26.527330,28.054663,26.527330,27.813505,18.521107,335009
1999-12-20,27.813505,27.934084,27.411575,27.612539,18.387281,149280
1999-12-21,27.532154,27.853699,27.170418,27.572348,18.360518,71157
1999-12-22,27.532154,27.893890,27.331190,27.733118,18.467573,92802
1999-12-23,27.893890,28.496784,27.652733,28.215433,18.788752,369717
1999-12-24,28.536978,29.099678,28.135048,28.938908,19.270521,499839
1999-12-27,null,null,null,null,null,null
1999-12-28,null,null,null,null,null,null
1999-12-29,28.938908,29.260450,28.818329,29.059486,19.350809,92180
1999-12-30,28.938908,28.938908,28.456593,28.697748,19.109922,43167
1999-12-31,28.697748,28.778135,28.094854,28.336014,18.869049,112955
2000-01-03,null,null,null,null,null,null
2000-01-04,28.376205,28.376205,26.929260,27.290997,18.173164,206504
2000-01-05,27.371384,27.371384,26.768490,26.768490,17.825235,745405
2000-01-06,26.929260,26.929260,26.165594,26.165594,17.423765,186102
2000-01-07,26.406752,26.406752,25.401930,25.803860,17.182878,215958
2000-01-10,25.763666,25.803860,25.321543,25.723473,17.129349,344464
2000-01-11,25.723473,26.004824,25.442122,25.803860,17.182878,257757
2000-01-12,26.125402,26.446945,26.085209,26.326366,17.530819,231508
2000-01-13,26.446945,26.688103,26.326366,26.607718,17.718172,466873
2000-01-14,26.688103,26.728296,25.321543,25.361736,16.888460,447467
2000-01-17,25.442122,26.045015,25.442122,25.964630,17.289936,99893
2000-01-18,26.045015,26.607718,25.803860,26.326366,17.530819,164954
2000-01-19,26.527330,26.527330,26.045015,26.366558,17.557579,189212
2000-01-20,26.527330,26.527330,25.723473,25.924437,17.263172,284503
2000-01-21,25.803860,26.125402,25.321543,25.683281,17.102587,241834
2000-01-24,26.326366,26.326366,24.316719,24.356913,16.219355,908991
2000-01-25,24.799034,24.799034,24.356913,24.477491,16.299641,458912
2000-01-26,24.598070,24.718651,23.954985,24.718651,16.460234,136218
2000-01-27,24.919615,25.924437,24.397106,25.884245,17.236401,487648
